experiment_group,artifact_dir,runner,rows,status,batch_wall_time_seconds,case_elapsed_seconds_sum,case_elapsed_seconds_mean,case_elapsed_seconds_median,case_elapsed_seconds_max,throughput_cases_per_minute,note
holdout_unseen_deterministic_speed_baseline,committee_review_holdout_unseen_deterministic_speed_baseline,deterministic,8,completed,1.3777,2.7519,0.3440,0.0714,1.1660,348.4068,Local deterministic baseline on unseen holdout 8 cases
holdout_unseen_liquidity_guardrail,committee_review_holdout_unseen_guardrail_speed_batch,deterministic,8,completed,1.4247,2.8465,0.3558,0.0726,1.2090,336.9130,Local deterministic liquidity-watch guardrail on unseen holdout 8 cases
rolling_agno_claude_round3_live_parallel,committee_review_rolling_validation_agno_claude_round3_batch,agno,10,completed,259.3310,693.5276,69.3528,64.9176,121.1347,2.3136,Live Claude/Agno + external evidence round 3 with workers=3 and replay duplicate Stage 2 call removed effective wall-clock about 25.9 sec per case versus roughly 2 min sequential
rolling_agno_claude_round3_low_prob_guardrail_cached,committee_review_rolling_validation_agno_claude_round3_after_guardrail_batch,agno,10,completed_cached_replay,1.4552,4.2951,0.4295,0.1004,1.2206,412.3145,Cache replay after low-probability guardrail; not live API latency
rerun_check_historical_test_12,rerun_check_historical_test_12,deterministic,12,completed,1.8694,5.5982,0.4665,0.1091,1.5459,385.1503,Final deterministic rerun after failed pilot cleanup
rerun_check_rolling_pilot_5,rerun_check_rolling_pilot_5,deterministic,5,completed,1.6207,4.7862,0.9572,1.5461,1.5497,185.1052,Final deterministic rerun of original rolling pilot baseline
rerun_check_holdout_guardrail,rerun_check_holdout_guardrail,deterministic,8,completed,1.1707,3.4413,0.4302,0.0977,1.0061,410.0111,Final deterministic rerun of unseen holdout guardrail
rerun_check_round2_agno,rerun_check_round2_agno,agno,10,completed_cached_replay,1.2696,3.7382,0.3738,0.1001,1.0358,472.5898,Final cached Agno rerun of round 2 after failed pilot cleanup
rerun_check_round3_after_guardrail,rerun_check_round3_after_guardrail,agno,10,completed_cached_replay,1.2387,3.6438,0.3644,0.1011,1.0034,484.3788,Final cached Agno rerun of round 3 guardrail after failed pilot cleanup
rerun_check_random_rolling_10,rerun_check_random_rolling_10,deterministic,10,completed,1.6494,6.4506,0.6451,0.1395,1.4396,363.7686,Random rolling validation sanity check after FP mitigation with hold subtype fields and workers=4
tn_guardrail_deterministic_8,committee_review_tn_guardrail_deterministic_8,deterministic,8,completed,1.9270,5.6994,0.7124,0.1174,1.7330,249.0919,Local deterministic baseline for TN guardrail 8 case sample
tn_guardrail_openai_agno_live_8,committee_review_tn_guardrail_agno_openai_live_8,agno_openai,8,completed,70.8385,140.2713,17.5339,17.6684,24.3091,6.7760,OpenAI Agno single model plus external evidence no parse failures labels unchanged
