evaluation_mode,committee_policy,sample_category,market,stock_code,corp_name,fiscal_year,eval_year,as_of_date,actual_label_name,model_predicted_label_name,model_error_type,credit_rating,rating_boundary_group,industry_macro_category,firm_size_group,prob_speculative,threshold,company_selection_json
rolling_validation_random,random_rolling_validation_10,true_negative_overescalation_guardrail,KOSPI,028050,삼성이앤에이(주),2020,2021,2020-12-31,투자적격,투자적격,true_negative,A-,upper_investment_A_or_above,it_services,large,0.0021029105,0.325,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""삼성이앤에이(주)"", ""market"": ""KOSPI"", ""stock_code"": ""028050""}, ""request_id"": ""committee-random-KOSPI-028050-2020"", ""selected_at"": ""2026-05-21T03:39:30.711992+00:00"", ""source"": ""csv_upload""}"
rolling_validation_random,random_rolling_validation_10,true_negative_overescalation_guardrail,KOSDAQ,035890,(주)서희건설,2021,2022,2021-12-31,투자적격,투자적격,true_negative,A,upper_investment_A_or_above,construction,mid_sized,0.0019257299,0.31,"{""analysis"": {""eval_year"": 2022, ""fiscal_year"": 2021}, ""as_of_date"": ""2021-12-31"", ""company"": {""corp_name"": ""(주)서희건설"", ""market"": ""KOSDAQ"", ""stock_code"": ""035890""}, ""request_id"": ""committee-random-KOSDAQ-035890-2021"", ""selected_at"": ""2026-05-21T03:39:30.711992+00:00"", ""source"": ""csv_upload""}"
rolling_validation_random,random_rolling_validation_10,true_negative_overescalation_guardrail,KOSPI,006120,에스케이디스커버리(주),2020,2021,2020-12-31,투자적격,투자적격,true_negative,A,upper_investment_A_or_above,it_services,large,0.0007956917,0.325,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""에스케이디스커버리(주)"", ""market"": ""KOSPI"", ""stock_code"": ""006120""}, ""request_id"": ""committee-random-KOSPI-006120-2020"", ""selected_at"": ""2026-05-21T03:39:30.711992+00:00"", ""source"": ""csv_upload""}"
rolling_validation_random,random_rolling_validation_10,fp_needing_committee_mitigation,KOSDAQ,033540,(주)파라텍,2019,2020,2019-12-31,투자적격,투기등급,false_positive,BBB,near_investment_BBB_plus_to_BBB_minus,manufacturing,mid_sized,0.8510266,0.225,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""(주)파라텍"", ""market"": ""KOSDAQ"", ""stock_code"": ""033540""}, ""request_id"": ""committee-random-KOSDAQ-033540-2019"", ""selected_at"": ""2026-05-21T03:39:30.711992+00:00"", ""source"": ""csv_upload""}"
rolling_validation_random,random_rolling_validation_10,true_negative_overescalation_guardrail,KOSDAQ,109860,동일금속(주),2019,2020,2019-12-31,투자적격,투자적격,true_negative,A+,upper_investment_A_or_above,manufacturing,small_and_medium,0.02364193,0.225,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""동일금속(주)"", ""market"": ""KOSDAQ"", ""stock_code"": ""109860""}, ""request_id"": ""committee-random-KOSDAQ-109860-2019"", ""selected_at"": ""2026-05-21T03:39:30.711992+00:00"", ""source"": ""csv_upload""}"
rolling_validation_random,random_rolling_validation_10,true_negative_overescalation_guardrail,KOSPI,084690,대상홀딩스(주),2021,2022,2021-12-31,투자적격,투자적격,true_negative,AA-,upper_investment_A_or_above,it_services,mid_sized,0.009071744,0.31,"{""analysis"": {""eval_year"": 2022, ""fiscal_year"": 2021}, ""as_of_date"": ""2021-12-31"", ""company"": {""corp_name"": ""대상홀딩스(주)"", ""market"": ""KOSPI"", ""stock_code"": ""084690""}, ""request_id"": ""committee-random-KOSPI-084690-2021"", ""selected_at"": ""2026-05-21T03:39:30.711992+00:00"", ""source"": ""csv_upload""}"
rolling_validation_random,random_rolling_validation_10,true_negative_overescalation_guardrail,KOSPI,014580,(주)태경비케이,2020,2021,2020-12-31,투자적격,투자적격,true_negative,A-,upper_investment_A_or_above,manufacturing,mid_sized,0.01396802,0.325,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)태경비케이"", ""market"": ""KOSPI"", ""stock_code"": ""014580""}, ""request_id"": ""committee-random-KOSPI-014580-2020"", ""selected_at"": ""2026-05-21T03:39:30.711992+00:00"", ""source"": ""csv_upload""}"
rolling_validation_random,random_rolling_validation_10,true_negative_overescalation_guardrail,KOSPI,084690,대상홀딩스(주),2019,2020,2019-12-31,투자적격,투자적격,true_negative,A+,upper_investment_A_or_above,it_services,mid_sized,0.021297429,0.225,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""대상홀딩스(주)"", ""market"": ""KOSPI"", ""stock_code"": ""084690""}, ""request_id"": ""committee-random-KOSPI-084690-2019"", ""selected_at"": ""2026-05-21T03:39:30.711992+00:00"", ""source"": ""csv_upload""}"
rolling_validation_random,random_rolling_validation_10,true_negative_overescalation_guardrail,KOSPI,003220,대원제약(주),2019,2020,2019-12-31,투자적격,투자적격,true_negative,A+,upper_investment_A_or_above,manufacturing,mid_sized,0.004024498,0.225,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""대원제약(주)"", ""market"": ""KOSPI"", ""stock_code"": ""003220""}, ""request_id"": ""committee-random-KOSPI-003220-2019"", ""selected_at"": ""2026-05-21T03:39:30.711992+00:00"", ""source"": ""csv_upload""}"
rolling_validation_random,random_rolling_validation_10,true_positive_risk_explanation,KOSDAQ,065650,(주)하이퍼코퍼레이션,2021,2022,2021-12-31,투기등급,투기등급,true_positive,B,deep_speculative_B_plus_or_lower,wholesale_retail,small_and_medium,0.8868321,0.31,"{""analysis"": {""eval_year"": 2022, ""fiscal_year"": 2021}, ""as_of_date"": ""2021-12-31"", ""company"": {""corp_name"": ""(주)하이퍼코퍼레이션"", ""market"": ""KOSDAQ"", ""stock_code"": ""065650""}, ""request_id"": ""committee-random-KOSDAQ-065650-2021"", ""selected_at"": ""2026-05-21T03:39:30.711992+00:00"", ""source"": ""csv_upload""}"
