variant,note,feature_count,added_feature_count,added_features,best_iteration,threshold_tuned,threshold_selection_rule,valid_precision_at_policy,valid_recall_at_policy,valid_f1_at_policy,valid_pr_auc,valid_roc_auc,valid_brier,valid_logloss,valid_precision_at_threshold,valid_recall_at_threshold,valid_f1_at_threshold,valid_true_negative_at_threshold,valid_false_positive_at_threshold,valid_false_negative_at_threshold,valid_true_positive_at_threshold,test_pr_auc,test_roc_auc,test_brier,test_logloss,test_precision_at_threshold,test_recall_at_threshold,test_f1_at_threshold,test_true_negative_at_threshold,test_false_positive_at_threshold,test_false_negative_at_threshold,test_true_positive_at_threshold
baseline_43_native,"현재 43개 변수, XGBoost native missing 기준",43,0,,332,0.315,valid_max_precision_with_recall_ge_0.85,0.6651982378854625,0.8579545454545454,0.749379652605459,0.8155875017491411,0.9246477272727273,0.0944402621710599,0.29916013112974943,0.6651982378854625,0.8579545454545454,0.749379652605459,424,76,25,151,0.7743939580944008,0.9110393075235668,0.10178817167985191,0.3210880411511589,0.64,0.8622754491017964,0.7346938775510204,424,81,23,144
profitability_quality_add_native,"ROE, EBITDA margin, 이자부담률 등 수익성/상환능력 후보 추가",50,7,"roe, operating_roe, ebitda_margin, interest_burden_ratio, gross_margin, operating_margin_diff, ebitda_margin_diff",247,0.325,valid_max_precision_with_recall_ge_0.85,0.6696428571428571,0.8522727272727273,0.75,0.8215847094764868,0.9265511363636364,0.09493217200709378,0.29704762641091503,0.6696428571428571,0.8522727272727273,0.75,426,74,26,150,0.777505522517922,0.9098002015770439,0.10237740749172512,0.3213796705402541,0.631336405529954,0.8203592814371258,0.7135416666666666,425,80,30,137
cashflow_quality_add_native,영업현금흐름의 질과 변화량 후보 추가,49,6,"ocf_to_total_assets, ocf_deficit_flag, delta_accruals_ratio, ocf_to_total_liabilities_diff, ocf_to_total_borrowings_diff, rolling_3y_cv_ocf_to_total_borrowings",105,0.32,valid_max_precision_with_recall_ge_0.85,0.6622807017543859,0.8579545454545454,0.7475247524752475,0.8064999757509008,0.9218750000000001,0.09774277744711571,0.3084718876725626,0.6622807017543859,0.8579545454545454,0.7475247524752475,423,77,25,151,0.7661502418674172,0.9055967273374044,0.10429548836739758,0.3284402742360846,0.6140350877192983,0.8383233532934131,0.7088607594936709,417,88,27,140
distress_flags_add_native,좀비/연속 적자/현금흐름 악화 등 해석 가능한 부실 징후 플래그 추가,51,8,"is_zombie_3y, is_3y_consecutive_operating_loss, is_3y_consecutive_ocf_deficit, is_operating_income_turn_negative, is_ocf_turn_negative, negative_equity_flag, is_negative_equity_entry, is_current_ratio_below_1",173,0.315,valid_max_precision_with_recall_ge_0.85,0.6550218340611353,0.8522727272727273,0.7407407407407407,0.8078839270906727,0.9211988636363636,0.09724568625312233,0.3069822069666766,0.6550218340611353,0.8522727272727273,0.7407407407407407,421,79,26,150,0.7701607174837111,0.9054840813422658,0.10399886750039256,0.32889749155578063,0.6096491228070176,0.8323353293413174,0.7037974683544304,416,89,28,139
working_capital_quality_add_native,매출채권/재고/매입채무 회전일수와 운전자본 비율 후보 추가,53,10,"ar_days, inventory_days, ap_days, ar_days_diff, inventory_days_diff, ap_days_diff, accounts_receivable_ratio, inventory_ratio, contract_assets_ratio, advances_from_customers_ratio",391,0.28,valid_max_precision_with_recall_ge_0.85,0.6566523605150214,0.8693181818181818,0.7481662591687042,0.8239343911520399,0.9295454545454546,0.09181135924284288,0.29040391099232155,0.6566523605150214,0.8693181818181818,0.7481662591687042,420,80,23,153,0.7741338286910745,0.9090946819232821,0.10212645820505988,0.3223591057623058,0.5889830508474576,0.8323353293413174,0.6898263027295285,408,97,28,139
macro_delta_add_native,금리/환율/시장 스프레드 변화량 후보 추가,48,5,"base_rate_diff, treasury_3y_diff, usd_krw_diff, market_spread_diff, spec_spread_diff",331,0.305,valid_max_precision_with_recall_ge_0.85,0.6536796536796536,0.8579545454545454,0.742014742014742,0.8192322155004915,0.9290909090909092,0.09359554054498914,0.2932246861183042,0.6536796536796536,0.8579545454545454,0.742014742014742,420,80,25,151,0.7639271373381921,0.9066876148692713,0.1049339846766994,0.32878292283262145,0.6157205240174672,0.844311377245509,0.7121212121212122,417,88,26,141
macro_context_add_native,거시 레벨 지표와 변화량 후보 추가,55,12,"base_rate, treasury_3y, corp_aa_3y, corp_bbb_3y, market_spread, usd_krw, ppi, base_rate_diff, treasury_3y_diff, usd_krw_diff, market_spread_diff, spec_spread_diff",272,0.295,valid_max_precision_with_recall_ge_0.85,0.6440677966101694,0.8636363636363636,0.7378640776699029,0.815027824184647,0.9257840909090909,0.094376151421462,0.29795800968958114,0.6440677966101694,0.8636363636363636,0.7378640776699029,416,84,24,152,0.7681600744659158,0.9065571826643741,0.10375016840592236,0.32624748254546726,0.6008403361344538,0.8562874251497006,0.7061728395061728,410,95,24,143
audit_flag_add_native,감사의견 관련 플래그 후보 추가,44,1,audit_qualified_flag,268,0.31,valid_max_precision_with_recall_ge_0.85,0.6550218340611353,0.8522727272727273,0.7407407407407407,0.8126316189204946,0.9249829545454545,0.0950887879900041,0.30103001813144875,0.6550218340611353,0.8522727272727273,0.7407407407407407,421,79,26,150,0.7741912240874385,0.9081816564890022,0.10326184490139764,0.32439862824242216,0.6042553191489362,0.8502994011976048,0.7064676616915423,412,93,25,142
top_univariate_add_native,단변량 선별에서 상대적으로 강했던 후보 묶음 추가,54,11,"roe, ebitda_margin, interest_burden_ratio, operating_roe, ocf_to_total_assets, is_zombie_3y, rolling_3y_cv_operating_margin, ar_days, capital_impairment_diff, equity_growth, non_paid_in_equity_ratio",262,0.315,valid_max_precision_with_recall_ge_0.85,0.6711111111111111,0.8579545454545454,0.7531172069825436,0.8292162620399967,0.9308068181818182,0.09281504681412957,0.28853460292354,0.6711111111111111,0.8579545454545454,0.7531172069825436,426,74,25,151,0.7646434632944245,0.9103456453429775,0.10332779105022911,0.32409609277090595,0.6205357142857143,0.8323353293413174,0.710997442455243,420,85,28,139
combined_interpretable_add_native,"수익성, 현금흐름, 부실 플래그, 운전자본 후보 통합",74,31,"roe, operating_roe, ebitda_margin, interest_burden_ratio, gross_margin, operating_margin_diff, ebitda_margin_diff, ocf_to_total_assets, ocf_deficit_flag, delta_accruals_ratio, ocf_to_total_liabilities_diff, ocf_to_total_borrowings_diff, rolling_3y_cv_ocf_to_total_borrowings, is_zombie_3y, is_3y_consecutive_operating_loss, is_3y_consecutive_ocf_deficit, is_operating_income_turn_negative, is_ocf_turn_negative, negative_equity_flag, is_negative_equity_entry, is_current_ratio_below_1, ar_days, inventory_days, ap_days, ar_days_diff, inventory_days_diff, ap_days_diff, accounts_receivable_ratio, inventory_ratio, contract_assets_ratio, advances_from_customers_ratio",133,0.325,valid_max_precision_with_recall_ge_0.85,0.6769911504424779,0.8693181818181818,0.7611940298507462,0.8221850180399323,0.9273409090909092,0.09424487274168762,0.29841577230346567,0.6769911504424779,0.8693181818181818,0.7611940298507462,427,73,23,153,0.7664964715643906,0.9079267208157942,0.10297419409219451,0.32580719178578466,0.6041666666666666,0.8682634730538922,0.7125307125307125,410,95,22,145
combined_all_candidate_add_native,전체 후보 변수팩 통합,87,44,"roe, operating_roe, ebitda_margin, interest_burden_ratio, gross_margin, operating_margin_diff, ebitda_margin_diff, ocf_to_total_assets, ocf_deficit_flag, delta_accruals_ratio, ocf_to_total_liabilities_diff, ocf_to_total_borrowings_diff, rolling_3y_cv_ocf_to_total_borrowings, is_zombie_3y, is_3y_consecutive_operating_loss, is_3y_consecutive_ocf_deficit, is_operating_income_turn_negative, is_ocf_turn_negative, negative_equity_flag, is_negative_equity_entry, is_current_ratio_below_1, ar_days, inventory_days, ap_days, ar_days_diff, inventory_days_diff, ap_days_diff, accounts_receivable_ratio, inventory_ratio, contract_assets_ratio, advances_from_customers_ratio, base_rate, treasury_3y, corp_aa_3y, corp_bbb_3y, market_spread, usd_krw, ppi, base_rate_diff, treasury_3y_diff, usd_krw_diff, market_spread_diff, spec_spread_diff, audit_qualified_flag",200,0.315,valid_max_precision_with_recall_ge_0.85,0.6468085106382979,0.8636363636363636,0.7396593673965937,0.8271531629463984,0.9270170454545454,0.09346637093818774,0.29579141643690304,0.6468085106382979,0.8636363636363636,0.7396593673965937,417,83,24,152,0.7680443456673601,0.9073101322108259,0.10290965549406904,0.32591941076847464,0.594017094017094,0.8323353293413174,0.6932668329177057,410,95,28,139
