rank,feature,feature_group,mean_abs_shap,korean_name,description,unit,note
1,gross_profit,profitability_returns,0.6616620122910003,매출총이익,매출총이익(손실),KRW thousand,
2,firm_size_group,context,0.6286986549921183,기업규모 그룹,모델링용 기업규모 그룹,category,
3,depreciation,cashflow_structure,0.6177079849727388,감가상각비,감가상각비,KRW thousand,
4,assets_total,stability_leverage,0.531194289435533,자산총계,총자산,KRW thousand,
5,industry_macro_category,context,0.5238712835577063,산업 대분류,모델링용 산업 대분류,category,
6,interest_coverage_ratio,profitability_returns,0.5235417286420208,이자보상배율,영업이익 대비 이자비용 배수,ratio,"이자비용 0이면 1,000,000으로 capped"
7,short_term_borrowings_share,trend_early_warning,0.4872250204696458,단기차입금 비중,총차입금 중 단기차입금 비중,ratio,기존 공식 변수셋에서 중요하게 보던 단기 유동성 압박 구조 변수
8,ocf_to_total_borrowings,cashflow_structure,0.4552156660011259,OCF/총차입금,총차입금 대비 영업현금흐름 비율,ratio,
9,intangible_assets_ratio,cashflow_structure,0.4175693925113568,무형자산 비중,총자산 대비 무형자산 비율,ratio,
10,net_margin_diff,trend_early_warning,0.3733340265487322,순이익률 변화,전년 대비 순이익률 변화폭,ratio,
11,net_margin,profitability_returns,0.3713735286765082,순이익률,매출액 대비 당기순이익 비율,ratio,기존 공식 변수셋에서도 핵심으로 보던 수익성 변수
12,equity_ratio,stability_leverage,0.3614656632100342,자기자본비율,총자산 대비 자기자본 비율,ratio,
13,market_to_book,market_shareholder,0.3592878905842043,Market-to-Book,시가총액 대비 장부가치 비율,ratio,자본총계가 천원 단위이므로 1000을 곱해 계산. 기존 공식 변수셋에서도 사용된 규모 지표
14,total_debt_turnover,cashflow_structure,0.350325937984344,총부채회전율,총부채 대비 매출액 비율,ratio,
15,total_assets_growth,trend_early_warning,0.33389346837659734,총자산증가율,전년 대비 총자산 증가율,ratio,자산 축소/급팽창은 구조조정·무리한 확장 신호
16,capital_impairment_ratio,stability_leverage,0.33048269245339373,자본잠식률,자본금 대비 자본잠식 정도,ratio,양수일수록 자본잠식 신호 가능
17,dividend_payer,market_shareholder,0.32974464333517234,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,0/1,기존 공식 변수셋에서도 중요하게 보던 배당 관련 안정성 지표
18,listed_year,context,0.3247782534038852,상장연도,상장일에서 추출한 연도,year,
19,cash_ratio,stability_leverage,0.3050498163997227,현금비율,유동부채 대비 현금및현금성자산 비율,ratio,
20,debt_ratio,stability_leverage,0.2887130382380891,부채비율,자기자본 대비 총부채 비율,ratio,총부채 레버리지 관점 보완 변수
21,pretax_roe,profitability_returns,0.28141895642175396,세전계속사업이익 기준 ROE,자기자본 대비 세전이익 비율,ratio,
22,total_borrowings_ratio,stability_leverage,0.2727409455360788,총차입금비율,총자산 대비 총차입금 비율,ratio,
23,is_2y_consecutive_ocf_deficit,trend_early_warning,0.26248275910814606,2년 연속 OCF 적자 여부,당기와 전기 모두 영업현금흐름이 음수인지 여부,0/1,지속적 현금흐름 악화 신호
24,current_ratio,stability_leverage,0.2622247987657512,유동비율,유동자산 대비 유동부채 비율,ratio,
25,accruals_ratio,cashflow_structure,0.24285606932181578,발생액 비율,총자산 대비 순이익과 영업현금흐름의 차이 (이익품질 지표),ratio,양수면 현금흐름 대비 회계이익 과다 — 이익 과장 신호
26,ocf_to_sales,cashflow_structure,0.2278698215034799,OCF/매출액,매출액 대비 영업현금흐름 비율,ratio,
27,cashflow_coverage_ratio,cashflow_structure,0.22686673081045552,현금흐름 커버리지,이자비용 대비 영업현금흐름 배수,ratio,"이자비용 0이면 1,000,000으로 capped"
28,ocf_to_total_liabilities,cashflow_structure,0.21472834683954717,OCF/부채총계,총부채 대비 영업현금흐름 비율,ratio,
29,market,context,0.19722226364776874,시장구분,상장시장 구분,category,시장 더미 변수로 활용 가능
30,operating_roa,profitability_returns,0.19528755098581313,총자산영업이익률,총자산 대비 영업이익 비율,ratio,
31,spec_spread,macro,0.19099990234655492,투기경계 스프레드,회사채 BBB-와 AA- 간 스프레드,%p,
32,pretax_roa,profitability_returns,0.11631236970424652,세전계속사업이익 기준 ROA,총자산 대비 세전이익 비율,ratio,
